$BUILT 2015-08-08 21:30:33
$AUTHOR Clam
$GERMAN 
$ENGLISH Urban Ledge-end

#SIZE_X 640
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 0
#START_Y 0
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 10
#REQUIRED 9
#SPAWN_INTERVAL 30
#SPAWN_INTERVAL_FAST 30

#BLOCKER 10
#PLATFORMER 2
#DIGGER 1

:geoo/construction/Hatch.H: 176 80

:geoo/construction/Goal2.G: 492 144

:proxima/flame.F: 336 304
:proxima/flame.F: 368 304
:proxima/flame.F: 400 304

:geoo/construction/concrete/032a: 128 144
:geoo/construction/concrete/032b: 128 176
:geoo/construction/concrete/064: 224 144
:geoo/construction/concrete/032a: 128 208
:geoo/construction/concrete/032b: 128 240
:geoo/construction/concrete/032h: 492 208
:geoo/construction/concrete/032h: 428 208
:geoo/construction/concrete/032a: 222 112
:geoo/construction/concrete/032: 254 112
:geoo/construction/concrete/032h: 160 144
:geoo/construction/concrete/064: 160 176
:geoo/construction/concrete/064: 288 240
:geoo/construction/wall/big_128x128: -64 80
:geoo/construction/wall/big_128x128: -64 144
:geoo/construction/wall/big_128x128: -64 272
:geoo/construction/concrete/064: 556 240
:geoo/construction/concrete/032h: 556 208
:geoo/construction/wall/big_128x128: 576 144
:geoo/construction/concrete/032h: 288 304
:geoo/construction/concrete/064: 428 240
:geoo/construction/concrete/032h: 428 304
:geoo/construction/concrete/064: 492 240
:geoo/construction/concrete/032h: 492 304
:geoo/construction/concrete/032h: 556 304
:geoo/construction/concrete/064: 556 336
:geoo/construction/wall/big_128x128: 576 272
:geoo/construction/fence_rust_64x64: 512 16
:geoo/construction/concrete/064: 556 48
:geoo/construction/wall/big_128x128: 576 80
:geoo/construction/concrete/032v: 64 272
:geoo/construction/concrete/064v: 64 144
:geoo/construction/fence_rust_64x64: 384 16
:geoo/construction/fence_rust_64x64: 448 16
:geoo/construction/rod_rust/straight32: 416 72
:geoo/construction/concrete/064h: 428 48
:geoo/construction/wall/big_square: 32 112
:geoo/construction/wall/big_square: 32 176
:geoo/construction/wall/big_square: 32 240
:geoo/construction/wall/big_square: 32 304
:geoo/construction/wall/big_square: 32 368
:geoo/construction/wall/big_square: 576 112
:geoo/construction/wall/big_square: 576 176
:geoo/construction/wall/big_square: 576 240
:geoo/construction/wall/big_square: 576 304
:geoo/construction/wall/big_square: 576 368
:geoo/construction/fence_rust_64x64: 64 16
:geoo/construction/fence_rust_64x64: 128 16
:geoo/construction/fence_rust_64x64: 192 16
:geoo/construction/fence_rust_64x64: 256 16
:geoo/construction/fence_rust_64x64: 320 16
:geoo/construction/rod_rust/straight32: 64 72
:geoo/construction/rod_rust/straight32: 96 72
:geoo/construction/rod_rust/straight32: 128 72
:geoo/construction/rod_rust/straight32: 160 72
:geoo/construction/rod_rust/straight32: 192 72
:geoo/construction/rod_rust/straight32: 224 72
:geoo/construction/rod_rust/straight32: 256 72
:geoo/construction/rod_rust/straight32: 288 72
:geoo/construction/rod_rust/straight32: 320 72
:geoo/construction/rod_rust/straight32: 352 72
:geoo/construction/rod_rust/straight32: 384 72
:geoo/construction/wall/big_128x128: -64 -48
:geoo/construction/wall/big_128x128: 576 -48
:geoo/construction/wall/big_square: 32 48
:geoo/construction/wall/big_square: 576 48
:geoo/construction/fence_rust_64x64: 512 -48
:geoo/construction/fence_rust_64x64: 384 -48
:geoo/construction/fence_rust_64x64: 448 -48
:geoo/construction/fence_rust_64x64: 64 -48
:geoo/construction/fence_rust_64x64: 128 -48
:geoo/construction/fence_rust_64x64: 192 -48
:geoo/construction/fence_rust_64x64: 256 -48
:geoo/construction/fence_rust_64x64: 320 -48
:geoo/construction/concrete/128: 160 272
:geoo/construction/concrete/064v: 96 272
:geoo/construction/wall/big_square: 32 -16
:geoo/construction/wall/big_square: 576 -16
:geoo/construction/fence_rust_64x64: 368 352
:geoo/construction/rod_rust/straight32: 416 352
:geoo/construction/concrete/064: 428 336
:geoo/construction/concrete/064: 492 336
:geoo/construction/fence_rust_64x64: 336 352
:geoo/construction/concrete/064: 288 336
:geoo/construction/concrete/032v: 64 336
:geoo/construction/rod_rust/straight32: 352 352
:geoo/construction/rod_rust/straight32: 384 352
