// Translations file for Lix

// mainNameOfLanguage: This is how your translated language appears in the
// options dialogue. Translate this to your language ("Deutsch" or "Français"),
// don't have your language's name in English (don't put "German" or "French")

$mainNameOfLanguage         English

// used in various dialogues

$commonOk                   Okay
$commonCancel               Cancel
$commonYes                  Yes
$commonNo                   No
$commonBack                 Back
$commonExit                 Exit
$commonDirParent            ..
$commonDirFlipPage          (more...)
$commonVersion              Version

// level browsers

$browserSingleTitle         Single Player
$browserNetworkTitle        Select Multiplayer level
$browserReplayTitle         Replays
$browserPlay                Play
$browserEdit                Edit
$browserReplay              Replay
$browserDelete              Delete
$browserExtract             Extract level
$browserExportImage        Export image
$browserExportImageDone    Done.

$browserInfoAuthor          By:
$browserInfoInitgoal        Save:
$browserInfoInitial         Lix:
$browserInfoHatches         Hatches:
$browserInfoGoals           Goals:
$browserInfoSkills          Skills:
$browserInfoClock2          Overtime:
$browserInfoAuthorNone      ?
$browserInfoClockNone       --

$browserInfoResultSaved     Saved:
$browserInfoResultSkills    Skills used:
$browserInfoResultTime      Time used:
$browserInfoResultOld1      The level has
$browserInfoResultOld2      been edited.

$browserInfoPlayer           Player:
$browserInfoVersion          Game:
$browserInfoBuilt            Level:
$browserInfoNew              is too new
$browserInfoSame             fits!
$browserInfoOld              is too old
$browserInfoHoldsLevel       contained

$browserBoxDirectory            Directory:
$browserBoxFileName             File name:
$browserBoxLevelName            Level title:

$browserBoxDeleteReplayTitle    Delete replay?
$browserBoxDeleteReplayQuestion Do you really want to delete this replay?
$browserBoxDeleteLevelTitle     Delete level?
$browserBoxDeleteLevelQuestion  Do you really want to delete this level?

// networking lobby

$winLobbyTitle                Network Game
$winLobbyTitleLobby          Lobby
$winLobbyTitleRoom           Room #
$winLobbyExit                 Leave network
$winLobbyUnstableCentral     (Experimental version. Please don't use central server.)
$winLobbyStartCentral        Connect to central server
$winLobbyStartServer         Host a game yourself
$winLobbyStartClient         Connect to:
$winLobbyChat                 Chat:
$winLobbySelectLevel         Choose level
$winLobbyReady                Ready for start
$winLobbyRoomNumber          Room #
$winLobbyRoomPlayer          player
$winLobbyRoomPlayers         players
$winLobbyRoomCreate          Open a new room
$winLobbyRoomLeave           Leave room

// end-of-game dialog, or pause dialog
$winGameTitle                 Game Menu
$winGameResult                Result
$winGameLixSaved             Lix saved:
$winGameLixSavedInTime     Lix saved in time:
$winGameResume                Continue
$winGameRestart               Restart level
$winGameSaveReplay           Save replay
$winGameMenu                  Exit
$winGameCommentPerfect       Perfect! All saved!
$winGameCommentMore          Super, more than necessary!
$winGameCommentExactly       Target reached exactly!
$winGameCommentFewer         Sorry, those were not enough.
$winGameCommentNone          That was nothing... Try again?
$winGameResultSkillsUsed         Skills used:
$winGameResultTimeUsed           Time taken:
$winGameNetFirst             Awesome! You're the champion!
$winGameNetSecond            Well done, nice second place.
$winGameNetMiddle            An okay outcome... Revanche?
$winGameNetLast              Sorry, you lie behind this time.
$winGameNetTieForFirst         Great, you're among the champs!
$winGameNetTieForLast          At least you're not alone there.
$winGameNetEverybodyTies           What's that? No true winner?
$winGameNetZero              Rock bottom! Did you nuke them?
$winGameNetEverybodyZero          Do we have a nuclear winter?
$winGameReplayWinOne        has won!
$winGameReplayWinTeam       have won!
$winGameReplayTie            The game is a tie.
$winGameOverwriteTitle       Overwrite Replay?
$winGameOverwriteQuestion    Do you really want to overwrite this replay?

// help texts inside the game

$gameSpawnintSlower            Raise spawn interval: Lix enter the level slower.
$gameSpawnintFaster             Lower spawn interval: Lix enter the level faster.
$gamePause                 Pause the game.
$gameZoom                  Zoom into the level.
$gameSpeedSlow            Slow motion.
$gameSpeedFast            Fast forward.
$gameSpeedTurbo           Turbo fast forward.
$gameStateSave            Quicksave the current game position.
$gameStateLoad            Load the previously quicksaved position.
$gameRestart               Restart the level.
$gameNuke                  Nuke. Activate with a double click.
$gameHintFirst            View a hint for this level.
$gameHintNext             View the next hint.
$gameHintPrev             View the previous hint.
$gameHintOff              Hide the hint.
$gameSpecTribe            Examine the skills of a different team.

// main editor screen

$editorUnsavedTitle           Save changes?
$editorUnsavedTitleNew       Save level?
$editorUnsavedQuestion        Would you like to save the changes on this level?
$editorUnsavedQuestionNew    Would you like to save this new level?
$editorHotkey                  Hotkey:
$editorHotkeyHold             Hotkey: hold
$editorBarAt                  at
$editorBarHover               tiles about to be selected.
$editorBarSelection           tiles selected.
$editorBarMoveWithKeysLong       Drag tiles or move them with [
$editorBarMoveWithKeysShort      Move with [
$editorBarMoveWithKeysMid        ], [
$editorBarMoveWithKeysEnd        ].

// editor buttons

$editorButtonFileNew         New: Deletes everything on screen and starts a new level.
$editorButtonFileExit        Quit: Exits the editor and asks about saving changed data.
$editorButtonFileSave        Save: Saves the current level under its current file name.
$editorButtonFileSaveAs     Save As: Saves the current level under a new file name.
$editorButtonGrid2           Grid 2: Rounds tiles' coordinates to multiples of 2.
$editorButtonGridCustom      Custom grid: This grid size is settable in the options.
$editorButtonGrid16          Grid 16: Rounds tiles' coordinates to multiples of 16.
$editorButtonSelectAll       Everything: Selects all tiles in the level.
$editorButtonSelectFrame     Frame: Drag a frame with the mouse to select tiles.
$editorButtonSelectAdd       Add: Keep tiles selected when selecting additional tiles.
$editorButtonSelectCopy      Copy: Clones the selected tiles for placing them elsewhere.
$editorButtonSelectDelete    Delete: Removes the selected tiles from the level.
$editorButtonSelectMinus     Back: Puts the selected tiles behind some others.
$editorButtonSelectPlus      Forth: Puts the selected tiles in front of some others.
$editorButtonSelectBack      Background: Puts the selected tiles into the background.
$editorButtonSelectFront     Foreground: Puts the selected tiles into the foreground.
$editorButtonSelectFlip      Flip: Mirrors the selected terrain horizontally.
$editorButtonSelectRotate    Rotate: Performs a quarter turn on the selected terrain.
$editorButtonSelectDark      Dark: Selected terrain erases normal terrain.
$editorButtonSelectNoow      No overwrite: Selected terrain overwrites only dark tiles.
$editorButtonViewZoom        Zoom: Toggles editor map zoom. Doesn't affect the level.
$editorButtonHelp             (this doesn't do anything right now)
$editorButtonMenuSize        Measures: Set the size and the topology for the level.
$editorButtonMenuScroll      Visuals: Set the scrolling position and background color.
$editorButtonMenuVars        Variables: Set the fundamental level variables.
$editorButtonMenuSkill       Skills: Decide which lix skills the players can assign.
$editorButtonAddTerrain      Terrain: Add a terrain tile.
$editorButtonAddSteel        Steel: Add a steel tile that cannot be dug through.
$editorButtonAddHatch        Hatch: Add a lix entrance hatch.
$editorButtonAddGoal         Goal: Add a goal, i.e., an exit, for the lix.
$editorButtonAddDeco         Decoration: Add a non-interactive decoration tile.
$editorButtonAddHazard       Hazard: Add a trap, water or fire.

// save browser

$saveBrowserTitle             Save As
$saveFilename                  File name:
$saveBoxOverwriteTitle       Overwrite Level?
$saveBoxOverwriteQuestion    Do you really want to overwrite this level?

// BitmapBrowser

$addTerrain                    Add terrain
$addSteel                      Add steel
$addHatch                      Add hatch
$addGoal                       Add goal
$addDeco                       Add decoration
$addHazard                     Add hazard

// editor window about the size of map

$winSizeTitle                 Level Measures
$winSizeL                     Left:
$winSizeR                     Right:
$winSizeU                     Top:
$winSizeD                     Bottom:
$winSizeX                     Width:
$winSizeY                     Height:
$winSizeHex                   Show size in hexadecimal
$winSizeTorusX               Wrap around horizontally
$winSizeTorusY               Wrap around vertically

// scrolling start position

$winScrollTitle               Level Visuals
$winScrollManual              Manually set initially visible region
$winScrollX                   X Coordinate (0 = left)
$winScrollY                   Y Coordinate (0 = top)
$winScrollRed                   Background red
$winScrollGreen                   Background green
$winScrollBlue                   Background blue
$winScrollJump                Scroll there
$winScrollCurrent             Current Position

// editor window to set level variables

$winVarTitle                  General Level Settings
$winVarAuthor                 Author
$winVarNameGerman            German title
$winVarNameEnglish           English title
$winVarInitial                No. of lix
$winVarRequired               Lix to save
$winVarSpawnintSlow          Spawn interval
$winVarSpawnintFast          Spawn int. fast
$winVarClock                  Time/overtime

// editor window to set skills

$winSkillTitle               Skill Settings
$winSkillUseExploder         Knockback exploder
$winSkillClear               Clear all
$winSkillClassic8            Classic 8
$winSkillClassic12           Modern 12
$winSkillAllTo               Adjust all:

// exporting a level into a file

$exportSingleLix              Save:
$exportSingleSpawnint         Spawn int.:
$exportSingleClock            Time:
$exportMultiLix               Lix:
$exportMultiSpawnint          Spawn int.:
$exportMultiClock             Overtime:

// network chat messages

$netChatWelcome1             You can join the central server, host a game yourself,
$netChatWelcomeUnstable      This is an experimental version. Host a game yourself,
$netChatWelcome2             or enter an IP address/a host name and click "%s".
$netChatStartServer          You are the server. Other players can connect to you now.
$netChatStartClient          Searching a server at
$netChatStartCancel          Connection attempt cancelled.
$netChatDisconnection          has quit the network.
$netChatWeTooOld            You have too old a Lix version to connect to the server.
$netChatWeTooNew            You have too new a Lix version. The server should upgrade.
