$BUILT 2014-06-26 23:30:55
$AUTHOR mobius/Clam
$GERMAN 
$ENGLISH Five for Fighting

#SIZE_X 1440
#SIZE_Y 400
#TORUS_X 0
#TORUS_Y 0
#START_X 160
#START_Y -20
#BACKGROUND_RED 0
#BACKGROUND_GREEN 0
#BACKGROUND_BLUE 0

#SECONDS 0
#INITIAL 5
#REQUIRED 5
#SPAWN_INTERVAL 90
#SPAWN_INTERVAL_FAST 4

#CLIMBER 2
#FLOATER 2
#EXPLODER 0
#BUILDER 5
#BASHER 1
#MINER 2
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0
#NOTHING 0

:matt/goldmine/GoalTop.D: 1232 240

:matt/goldmine/Hatch.H: 314 46

:matt/goldmine/Goal.G: 1232 288

:simon/water.W: 208 352
:simon/water.W: 256 352
:simon/water.W: 304 352
:simon/water.W: 352 352
:simon/water.W: 400 352
:simon/water.W: 448 352
:simon/water.W: 112 352
:simon/water.W: 160 352

:matt/goldmine/08: 752 -32 rr
:matt/goldmine/04: 32 288
:matt/goldmine/09: 8 336
:matt/goldmine/crate64: 1008 144
:matt/goldmine/crate64: 1008 208
:matt/goldmine/09: 904 104
:matt/goldmine/09: 952 104
:matt/goldmine/08: 952 160
:matt/goldmine/08: 896 152
:matt/goldmine/08: 848 128
:matt/goldmine/crate64: 64 0
:matt/goldmine/crate32: 298 184
:matt/goldmine/crate32: 330 184
:matt/goldmine/crate32: 362 184
:matt/goldmine/crate32: 394 184
:matt/goldmine/crate32: 426 184
:matt/goldmine/crate32: 458 184
:matt/goldmine/crate32: 490 184
:matt/goldmine/crate64: 80 32
:matt/goldmine/crate64: 96 0
:matt/goldmine/07: 400 -64
:matt/goldmine/07: 496 -16
:matt/goldmine/05: 624 48
:matt/goldmine/00: 576 32
:matt/goldmine/00: 592 64
:matt/goldmine/00: 608 80
:matt/goldmine/00: 624 96
:matt/goldmine/00: 640 112
:matt/goldmine/00: 672 112
:matt/goldmine/00: 640 32
:matt/goldmine/00: 656 48
:matt/goldmine/00: 672 64
:matt/goldmine/00: 688 80
:matt/goldmine/00: 688 0
:matt/goldmine/00: 704 16
:matt/goldmine/00: 720 32
:matt/goldmine/00: 736 48
:matt/goldmine/07: 608 -32
:matt/goldmine/explosivecrate: 648 288
:matt/goldmine/explosivecrate: 712 352
:matt/goldmine/explosivecrate: 712 288
:matt/goldmine/explosivecrate: 816 336
:matt/goldmine/explosivecrate: 776 288
:matt/goldmine/explosivecrate: 880 336
:matt/goldmine/explosivecrate: 880 272
:matt/goldmine/explosivecrate: 944 336
:matt/goldmine/explosivecrate: 944 272
:matt/goldmine/explosivecrate: 1008 336
:matt/goldmine/explosivecrate: 1008 272
:matt/goldmine/explosivecrate: 1072 336
:matt/goldmine/explosivecrate: 1072 272
:matt/goldmine/explosivecrate: 1136 336
:matt/goldmine/explosivecrate: 1136 272
:matt/goldmine/07: 752 328
:matt/goldmine/09: 816 232
:matt/goldmine/07: 832 320
:matt/goldmine/07: 944 352
:matt/goldmine/08: 904 224
:matt/goldmine/09: 824 168
:matt/goldmine/09: 840 224
:matt/goldmine/09: 888 232
:matt/goldmine/08: 872 224
:matt/goldmine/08: 928 232
:matt/goldmine/08: 976 232
:matt/goldmine/07: 968 336
:matt/goldmine/07: 888 312
:matt/goldmine/crate64: 1072 144
:matt/goldmine/crate64: 1072 208
:matt/goldmine/crate64: 1136 144
:matt/goldmine/crate64: 1136 208
:matt/goldmine/explosivecrate: 1200 336
:matt/goldmine/explosivecrate: 1264 336
:matt/goldmine/07: 1160 352
:matt/goldmine/07: 576 -64
:matt/goldmine/crate16: 552 384
:matt/goldmine/crate16: 568 384
:matt/goldmine/crate16: 584 384
:matt/goldmine/crate16: 600 384
:matt/goldmine/crate16: 616 384
:matt/goldmine/crate16: 632 384
:matt/goldmine/explosivecrate: 648 352
:matt/goldmine/07: 656 360
:matt/goldmine/crate32: 202 280
:matt/goldmine/crate32: 234 280
:matt/goldmine/crate32: 170 248 rrr
:matt/goldmine/crate32: 170 216 rrr
:matt/goldmine/crate32: 266 248 rrr
:matt/goldmine/crate32: 266 216 rrr
:matt/goldmine/crate32: 266 184
:matt/goldmine/explosivecrate: 496 352
:geoo/steel/64x64o.S: 960 336
:geoo/steel/32x32o.S: 976 304
:geoo/steel/32x16o.S: 992 288
:geoo/steel/32x32o.S: 992 288
:matt/goldmine/00: 1176 -32
:matt/goldmine/00: 1200 -16
:matt/goldmine/00: 1224 8
:matt/goldmine/00: 1240 24
:matt/goldmine/00: 1288 24
:matt/goldmine/00: 1256 -40
:matt/goldmine/00: 1272 -24
:matt/goldmine/00: 1312 0
:matt/goldmine/00: 1328 -40
:matt/goldmine/00: 1144 -56
:matt/goldmine/crate32: 170 280 rrr
:matt/goldmine/crate32: 266 280 rrr
